013	'nYl-dEr-tin
hev-	'hev
heyendaalseweg	'hij-@n-dal-s@-wEx
heyendael	'hE+-j@n-dal
hezelstraat	'he-z@l-strat
h-had	h-'hAt
h-half	h-'hAlf
h-hebben	h-'hE-b@n
h-heeft	h-'heft
h-het	h-'hEt
h-hij	h-'hE+
h-hoe	h-'hu
hie-	'hi
hield	'hilt
hielden	'hil-d@
hier	'hir
hierachter	hir-'Ax-t@r
hierbij	'hir-bE+
hiernaartoe	hir-nar-'tu
hiernaast	hir-'nast
hiervan	'hir-vAn
hiervoor	'hir-vor
hij	'hE+
hij-hij	'hE+-hE+
hilarisch	hi-'la-ris
hilversum	'hIl-v@r-sYm
hipster	'hIp-st@r
hl-	'hl
hm	'@m
hmh	'hm
hmhm	'hm
ho	'ho
hobbit	'hO-bIt
hobby	'hO-bi
hoe	'hu
hoe-	'hu
hoed	'hut
hoedje	'hut-j@
hoef	'huf
hoefde	'huv-d@
hoeft	'huft
hoe-hoe	'hu-hu
hoei	'huj
hoeiets	hu-'Its
hoek	'huk
hoekje	'huk-j@
hoe-oe	'hu-u
hoepa	'hu-pA
hoes	'hus
hoesten	'hus-t@
hoev-	'huv
hoeveel	hu-'vel
hoeveelste	hu-'vel-st@
hoeven	'hu-v@
hoewel	hu-'wEl
hoezo	hu-'zo
hoger	'ho-G@r
hogere	'ho-G@-r@
hogeschool	ho-G@-'sxol
hohoho	'hO-hO-hO
hoi	'hOj
hokje	'hOk-j@
hokken	'hO-k@
homerus	'hom-rYs
homo	'ho-mo
homo-erotische	ho-mo-E-'ro-ti-S@
honderd	'hOn-d@rt
hongarije	hON-GA-'rE+-j@
honger	'hO-N@r
hoofd	'hoft
hoofddoekjes	'hoft-duk-j@s
hoofden	'hov-d@
hoofdvak	'hoft-fAk
hoofdvakken	'hoft-fA-k@
hoog	'hox
hoogtepunt	'hox-t@-pYnt
hoogtepunten	'hox-t@-pYn-t@
hoop	'hop
hoopte	'hop-t@
hoor	'hor
hoorcollege	'hor-kO-le-Z@
hoorde	'hor-d@
hoort	'hort
hopelijk	'ho-p@-l@k
hopen	'ho-p@
horen	'ho-r@
horloge	hOr-'lo-Z@
hormoon	hOr-'mon
ho's	'hos
hostell	'hOs-t@l
hot	'hOt
hotel	ho-'tEl
hotels	ho-'tEls
hou	'hA+
houd	'hA+t
houden	'hA+-d@
houding	'hA+-dIN
houdt	'hA+t
hou-houden	hA+-'hA+-d@n
houwen	'hA+-w@
huh	'hY
huhuh	Ah-'Ah
huid	'hY+t
huidi-	'hY+-dI
huil	'hY+l
huilen	'hY+-l@
huilend	'hY+-l@nt
huis	'hY+s
huisfeest	'hY+s-fest
huisgenoot	'hY+s-x@-not
huisgenoten	'hY+s-x@-no-t@
huisje	'hY+s-j@
huisjes	'hY+S-@s
huisschilder	'hY+-sxIl-d@r
huisvesting	'hY+s-fEs-tIN
huiswerk	'hY+s-wErk
huize	'hY+-z@
hun	'hYn
hup	'hYp
huur	'hyr
huurcontract	'hyr-kOn-trAkt
huurde	'hyr-d@
huys	'hYes
hypothese	hi-po-'te-z@
hypothetisch	hi-po-'te-tis
i	'i
-i	'I
i-	'i
ic	i-'se
id	i-'de
id-	'Id
ideaal	i-de-'jal
ideale	i-de-'ja-l@
idealen	i-de-'ja-l@
idealistisch	i-de-ja-'lIs-tis
idee	i-'de
idyllisch	i-'dI-lis
ie	'i
ie-	'i
iede	'ie-d@
iede-	'i-d@
ieder	'i-d@r
ieder-	'i-d@r
iedere	'i-d@-r@
iedereen	'i-d@r-en
iejeneeie	'i-j@-ne-j@
iemand	'i-mAnt
iemands	'i-mAnts
iets	'its
ietsje	'its-j@
i-i-	'I-I
i-identiteit	I-'I-dEn-tI-tE+t
i-iets	i-'its
i-ik	I-'Ik
i-im-i-ik	I-Im-I-'Ik
i-in	I-'In
i-inactief	I-In-Ak-'tif
ik	'Ik
ikea	i-'k@-a
ik-i	'Ik-I
ik-ik	'Ik-Ik
ik-ik-ik	'Ik-Ik-Ik
ik-k	'Ik-k
ikke	'I-k@
illustratief	I-ly-stra-'tif
ilse	'il-s@
i'm	'im
imaginationland	I-mA-gI-'nA-SIon-lAnd
immoreel	I-mo-'rel
immorele	I-mo-'re-l@
in	'In
incidentele	In-si-dEn-'te-l@
inclusief	IN-kly-'zif
indaad	In-'dad
inderd-	'In-d@r-d
inderda-	'In-d@r-da
inderdaad	In-d@r-'dat
indiase	'In-di-ja-s@
indruk	'In-drYk
ineens	In-'ens
infectie	In-'fEk-si
informa-	'In-fOr-ma
informatie	In-fOr-'ma-tsi
information	In-fOr-'ma-tSOn
informelere	In-fOr-'me-l@-r@
ingang	'IN-GAN
ingangseisen	'In-GANs-E+-s@n
ingehouden	'IN-G@-hA+-d@
ingenomen	'IN-G@-no-m@
ingepakt	'IN-G@-pAkt
ingepland	'IN-G@-plEnt
ingeschoten	'IN-G@-sxo-t@
ingeschr-	'In-G@-sxr
ingeschreven	'IN-G@-sxre-v@
ingevuld	'IN-G@-vYlt
ingezet	'IN-G@-zEt
inhoud	'In-hA+t
inhoudelijke	In-'hA+-d@-l@-k@
inhoudt	'In-hA+t
in-in	'In-In
in-in-in	'In-In-In
inkomen	'IN-ko-m@
inkorten	'IN-kOr-t@
inla-	'In-la
inleveren	'In-le-v@-r@
inloopt	'In-lopt
inluiden	'In-lY+-d@
innemen	'I-ne-m@
inpikken	'Im-pI-k@
inquisitie	IN-kwi-'si-tsi
inrationeel	'In-rA-tsio-nel
inrichting	'In-rIx-tIN
inschrijven	'In-sxrE+-v@
insigne	In-'sI-J@
insignes	In-'sI-J@s
inspiratieloosheid	In-spi-ra-tsi-'los-hE+t
inspreken	'In-spre-k@
installeren	In-stA-'le-r@
insteek	'In-stek
instellen	'In-stE-l@
instituut	In-sti-'tyt
instromen	'In-stro-m@
instroom	'In-strom
insturen	'In-sty-r@
inte-	'In-t@
integraal	In-t@-'Gral
intellect	In-t@-'lEkt
intellectueel	In-t@-lEk-ty-'wel
interactieve	In-t@r-Ak-'ti-v@
interessant	In-t@-rE-'sAnt
interessants	In-t@-rE-'sAnts
interesseren	In-t@-rE-'se-r@
intern	In-'tErn
internal	In-'t@r-nAl
internationaal	In-t@r-nA-tSo-'nal
internationale	In-t@r-nA-tSo-'na-l@
interpre-	'In-t@r-pr@
interpreteert	In-t@r-pr@-'tert
interview	In-t@r-'vjuw
interviews	'In-t@r-vjuws
introductie	In-tro-'dYk-si
introweekend	'In-tro-i-kEnt
invaller	'In-vA-l@r
invloed	'In-vlut
invloedrijk	'In-vlud-rE+k
invoeren	'In-vu-r@
invoert	'In-vurt
invullen	'In-vY-l@
invulling	'In-vY-lIN
inwerken	'In-wEr-k@
inzetten	'In-zE-t@
inzien	'In-zin
irrationeels	I-rA-tsio-'nels
irritant	I-ri-'tAnt
irritante	I-ri-'tAn-t@
irriteren	I-ri-'te-r@
is	'Is
is-	'Is
isis	'Is-Is
is-is	'Is-Is
isolatiemateriaal	i-so-'la-tsi-ma-te-ri-jal
isoleren	i-so-'le-r@
-istich	'Is-tis
it	'i-t
italiaans	i-ta-li-'jans
italiaanse	i-ta-li-'jan-s@
italianen	i-ta-li-'ja-n@
ivan	'i-vAn
j	'j
j-	'j
ja	'ja
ja-	'ja
ja-a	'ja-a
ja-a-a	'ja-a-a
ja-ah	'ja-a
jaap	'jap
jaar	'jar
jaartje	'jar-tj@
jacobi	ja-'ko-bi
jammer	'jA-m@r
jan	'jAn
jan-	'jAn
janken	'jAN-k@
janne	'jA-n@
jansenstraat	'jAn-s@n-strat
januari	ja-ny-'wa-ri
jaren	'ja-r@
jarig	'ja-r@x
jas	'jAs
jasje	'jAs-j@
jasjes	'jAs-j@s
jasper	'jAs-p@r
jassen	'jA-s@
jatten	'jA-t@
jawel	ja-'wEl
jazz	'dZEs
jazzfestival	'dZEs-fEs-ti-vAl
jazzkenner	'djE:s-kE-n@r
je	'j@
jee	'je
je-j	'jE-j
je-ja	'jE-ja
je-je	'j@-j@
jelle	'jE-l@
jeremy	'j@-rE-mi
jeroen	j@-'run
jeroens	j@-'runs
jerre	'jE-r@
jetlag	'dZEt-lEk
jetske	'jEt-sk@
jeuk	'j2k
jezelf	j@-'zElf
jezus	'je-zYs
jezuskruis	'je-zYs-krY+s
jij	'jE+
jill	'jIl
jim	'jIm
jimmie	'djI-mi
j-ja	j-'ja
j-jan	j-'jAn
j-je	j-'j@
j-jere-	j-'je-r@
j-jij	j-'jE+
jo	'jo
jo-	'jo
job	'jOp
jobje	'jOb-j@
joden	'jo-d@
joe	'ju
joehoe	'ju-hu
joerie	'ju-ri
joew	'juw
joh	'jO
john	'j2n
jointje	'dZOjn-tj@
jones	'jo-n@s
jong	'jON
jonge	'jO-N@
jongen	'jO-N@
jongens	'jO-N@ns
jongetjes	'jO-N@-tj@s
jordi	'jOr-di
jorg	'jOrx
joris	'jO-r@s
jou	'jA+
jou-jouw	'jA+-jA+w
journaal	Zur-'nal
journalisme	Zur-nA-'lis-m@
journalist	Zur-na-'lIst
jouw	'jA+w
jouzelf	jA+-'zEl@f
jow	'jA+
ju	'jy
ju-	'jy
juist	'jY+st
jul	'jyl
jul-	'jYl
juli	'jy-li
julia	'jy-li-ja
julie	'jy-li
jullie	'jY-li
junior	'jy-ni-jOr
jurassic	Zy-'rA-sIk
jurriÃ«n	Zyri@
jurriën	'Zy-ri@
jury	'Zy-ri
justitie	jys-'ti-tsi
k	'ka
-k	'k
k-	'k
ka	'ka
ka-	'ka
kaal	'kal
kaart	'kart
kaarten	'kar-t@
kaartje	'kart-j@
kaartjes	'kart-j@s
kaas	'kas
kabel	'ka-b@l
kaboutertje	ka-'bA+-t@r-tj@
kak	'kAk
kakvriendin	'kAk-vrin-dIn
kale	'ka-l@
kalibratie	kA-li-'bra-tsi
kalibreren	kA-li-'bre-r@n
kallibratie	kA-li-'bra-tsi
kamer	'ka-m@r
kamerlid	'ka-m@r-lIt
kamerplanten	'ka-m@r-plAn-t@
kamers	'ka-m@rs
kamertje	'ka-m@r-tj@
kamertjes	'ka-m@r-tj@s
kan	'kAn
kan-	'kAn
kannetje	'kA-n@-tj@
kans	'kAns
kant	'kAnt
kanten	'kAn-t@
kantiaans	kAn-ti-'ans
kantine	kAn-'ti-n@
kantines	kAn-'ti-n@s
kanton	kAn-'tOn
kantoor	kAn-'tor
kantoorbaan	kAn-'tor-ban
kantoren	kAn-'to-r@
kapot	ka-'pOt
kappen	'kA-p@
kapper	'kA-p@r
kapsalon	'kAp-sa-lOn
kapsalonnetje	'kAp-sa-lO-n@-tj@
karakterverandering	kA-'rAk-t@r-v@r-An-d@-riN
karig	'ka-r@x
kas	'kAs
kasper	'kAs-p@r
kast	'kAst
kasteeltje	kAs-'tel-tj@
kasten	'kAs-t@
kat	'kAt
katelijn	ka-t@-'lE+n
kater	'ka-t@r
katern	ka-'tErn
katholiek	kA-to-'lik
ke	ke
ke-	kE
keek	'kek
keer	'ker
keertje	'ker-tj@
kei	'kE+
keigezellig	'kE+-G@-zE-l@x
keihard	'kE+-hArt
keilen	'kE+-l@
keileuk	'kE+-l2k
keken	'ke-k@
ken	'kEn
kenden	'kEn-d@
kennelijk	'kE-n@-l@k
kennen	'kE-n@
kennis	'kE-n@s
kent	'kEnt
kerel	'ke-r@l
keren	'ke-r@
kerk	'kErk
kerken	'kEr-k@
kermisgeloof	'kEr-mIs-Ge-lof
kerst	'kErst
kerstmis	'kErst-mIs
kerstvakantie	'kErst-fa-kAn-si
kerven	'kEr-v@
keuken	'k2-k@
keuze	'k2-z@
keuzes	'k2-z@s
ki-	'kI
kickstarter	'kIk-stAr-t@r
kids	'kIts
kielzog	'kil-zOx
kiezen	'ki-z@
kijk	'kE+k
kijken	'kE+-k@
kijkt	'kE+kt
kill	'kIl
kilo	'ki-lo
kilometer	'ki-lo-me-t@r
kinderachtig	'kIn-d@r-Ax-t@x
kinderen	'kIn-d@-r@
kinderfilm	'kIn-d@r-fIlm
kip	'kIp
kistje	'kIst-j@
kitsch	'kitS
kitsch-kruizen	'kitS-krY+-z@n
k-kan	k-'kAn
kl	'kaEl
kl-	'kl
klaar	'klar
klagen	'kla-G@
klank	'klANk
klanten	'klAn-t@
klantenpakket	'klAn-t@n-pA-kEt
klap	'klAp
klapjes	'klAp-j@s
klappen	'klA-p@
klas	'klAs
klassieke	klA-'si-k@
kleding	'kle-dIN
klein	'klE+n
kleine	'klE+-n@
kleintje	'klE+n-tj@
kleren	'kle-r@
kleur	'kl2r
kleuren	'kl2-r@
kleurtjes	'kl2r-tj@s
klikken	'klI-k@
klikt	'klIkt
klimhal	'klIm-hal
klinkende	'klIN-k@n-d@
klinkt	'klINkt
klok	'klOk
klonk	'klONk
klool	'klol
klopboor	'klO-bor
klopt	'klOpt
klote	'klo-t@
kluis	'klY+s
klussen	'klY-s@
kn-	'kn
knalde	'knAl-d@
knalgele	'knAl-Ge-l@
knallen	'knA-l@
knalmuziek	'knAl-my-zik
knap	'knAp
knap-	'knAp
knapperige	'knA-p@-r@-G@
knettergek	'knE-t@r-GEk
knew	'niw
knie	'kni
knieÃ«n	knij@
knieën	'kni-j@
knollentuin	'knO-l@-tY+n
knollentuinstraat	'knO-l@n-tY+n-strat
knorren	'knO-r@
ko	'ko
ko-	'kO
kockelmann	'kO-k@l-mAn
koekje	'kuk-j@
koeling	'ku-lIN
koelkast	'kul-kAst
koepel	'ku-p@l
koffer	'kO-f@r
koffie	'kO-fi
kogel	'ko-G@l
koken	'ko-k@
kom	'kOm
komen	'ko-m@
komende	'ko-m@n-d@
komkommersalade	kOm-'kO-m@r-sa-la-d@
kommetjesset	'kO-m@-tj@-sEt
komt	'kOmt
kon	'kOn
konden	'kOn-d@
konijn	ko-'nE+n
koning	'ko-nIN
koninginnedag	ko-nI-'NI-n@-dAx
kont	'kOnt
kook	'kok
kookboek	'kog-buk
kookspullen	'kok-spY-l@n
koom-	'kom
koop	'kop
kop	'kOp
kopen	'ko-p@
kopje	'kOp-j@
kopjes	'kOp-j@s
koppijn	'kO-pE+n
koran	ko-'ran
kort	'kOrt
korte	'kOr-t@
kortere	'kOr-t@-r@
kos	'kOs
kos-	'kOs
kost	'kOst
kosten	'kOs-t@
koud	'kA+t
kozen	'ko-z@
kpmg	ka-pe-Em-'xe
kr-	'kr
krabben	'krA-b@
kracht	'krAxt
kramer	'kra-m@r
krant	'krAnt
kranten	'krAn-t@
krantenfonds	'krAn-t@n-fOnds
krantje	'krAnt-j@
krantjes	'krAnt-j@s
krap	'krAp
krat	'krAt
kreeg	'krex
kregen	'kre-G@
krij-	'krE+
krijg	'krE+x
krijgen	'krE+-G@
krijgt	'krE+xt
kringloop	'krIN-lop
kritiek	kri-'tik
kritisch	'kri-tis
kritische	'kri-ti-s@
kroeg	'krux
kroegentocht	'kru-G@-tOxt
krokusvakantie	'kro-kYs-fa-kAn-si
krone	'kro-n@
kronkel	'krON-k@l
kronkels	'krON-k@ls
kruiden	'krY+-d@
kruis	'krY+s
kruiswoordpuzzeltjes	'krY+s-wort-pY-s@l-tj@s
krul	'krYl
krullen	'krY-l@
krullenkop	'krY-l@n-kOp
ku	'ky
ku-	'ky
kuil	'kY+l
kuku	ky-'ky
ku-kun	kY-'kYn
kun	'kYn
kunnen	'kY-n@
kunst	'kYnst
kunsten	'kYns-t@
kunstgeschiedenis	'kYnst-x@-sxi-d@-nIs
kunstwerk	'kYnst-wErk
kunt	'kYnt
kussen	'kY-s@
kut	'kYt
kutgesprek	'kYt-G@sprEk
kutje	'kYt-j@
kutnummers	'kYt-nY-m@rs
kutte	'kY-t@
kutten	'kY-t@
kutweer	'kYt-wer
kutwerk	'kYt-wErk
kutwijf	'kYt-wE+f
kw	'ka-we
kw-	'kw
kwalificatie	kwa-li-fi-'ka-tsi
kwalijk	'kwa-l@k
kwaliteit	kwa-li-'tE+t
kwam	'kwAm
kwamen	'kwa-m@
kwart	'kwArt
kwartier	kwAr-'tir
kweken	'kwe-k@
kwijt	'kwE+t
l	'l
l-	'l
la	'la
laat	'lat
laatje	'la-tj@
laatst	'latst
laatste	'lat-st@
lach	'lAx
lachen	'lA-x@
ladderzat	'lA-d@r-zAt
lag	'lAx
lagen	'la-G@
lak	'lAk
lampen	'lAm-p@
lampje	'lAmp-j@
lampjes	'lAmp-j@s
land	'lAnt
landschap	'lAnt-sxAp
lang	'lAN
lange	'lA-N@
langer	'lA-N@r
langere	'lA-N@-r@
langs	'lANs
langskomen	'lANs-ko-m@
langstraat	'lAN-strat
langzaam	'lAN-zam
laptop	'lAp-tOp
laptopje	'lEp-tOp-j@
las	'lAs
lassen	'lA-s@
last	'lAst
lastig	'lAs-t@x
laten	'la-t@
laten-laten	'la-t@n-la-t@n
later	'la-t@r
latex	'la-tEks
laura	'lA+-ra
lauw	'lA+w
law	'lAO:
le	'l@
le-	'le
leden	'le-d@
ledenjasje	'le-d@n-jAs-j@
ledenjasjes	'le-d@n-jAs-j@s
leef	'lef
leeft	'left
leeftijd	'lef-tE+t
leeftijden	'lef-tE+-d@
leeg	'lex
leeghalen	'lex-ha-l@
leegmaken	'leG-ma-k@
leek	'lek
leem	'lem
leen	'len
leent	'lent
leer	'ler
leerme-	'ler-me
lees	'les
leest	'lest
leeuw	'lew
leeuwarden	le-'Ar-d@
leg	'lEx
legaal	le-'Gal
leger	'le-G@r
legerbasis	'le-G@r-ba-sIs
legereenheid	'le-g@r-en-hE+t
leggen	'lE-G@
leiden	'lE+-d@
lekker	'lE-k@r
lekkerder	'lE-k@r-d@r
lekkere	'lE-k@-r@
lelijk	'le-l@k
lemon	'l@-mOn
lenen	'le-n@
lening	'le-nIN
lennart	'lE-nArt
leonie	'le-jo-ni
leraar	'le-rar
leraren	'le-ra-r@
leren	'le-r@
les	'lEs
lessen	'lE-s@
let	'lEt
letten	'lE-t@
letteren	'lE-t@-r@
letters	'lE-t@rs
leu	'l2
leu-	'l2
leuk	'l2k
leuke	'l2-k@
leuker	'l2-k@r
leukere	'l2-k@-r@
leuks	'l2ks
leukst	'l2kst
leukste	'l2k-st@
leunt	'l2nt
leven	'le-v@
levensverzekeringswiskunde	'le-v@ns-v@r-ze-k@-rINs-wIs-kYn-d@
leveren	'le-v@-r@
levering	'le-v@-rIN
levert	'le-v@rt
lezen	'le-z@
lezingen	'le-zI-N@
lichaam	'lI-xam
lichamelijk	lI-'xa-m@-l@k
licht	'lIxt
lichten	'lIx-t@
lichting	'lIx-tIN
lid	'lIt
lief	'lif
liefst	'lifst
liep	'lip
liet	'lit
lieten	'li-t@
liever	'li-v@r
lig	'lIx
liggen	'lI-G@
ligt	'lIxt
lij-	'lE+
lijken	'lE+-k@
lijkt	'lE+kt
lijn	'lE+n
lijp	'lE+p
lijpe	'lE+-p@
lijst	'lE+st
lijstje	'lE+st-j@
li-ligt	lI-'lIGt
limburger	'lIm-bYr-G@r
limburgs	'lIm-bYrs
linken	'lIN-k@
links	'lINks
literatuur	li-t@-ra-'tyr
liters	'li-t@rs
live	'lAjf
living	'lI-vIN
l-leuk	l-'l2k
l-ligt	l-'lIGt
lo	'lo
lo-	'lo
locatie	lo-'ka-tsi
loek	'luk
loes	'lus
logisch	'lo-Gis
logistiek	lo-GIs-'tik
logo	'lo-Go
lol	'lOl
lomp	'lOmp
londen	'lOn-d@
longreads	'lON-reds
loon	'lon
loop	'lop
loopbanden	'lop-bAn-d@n
loopt	'lopt
loos	'los
lopen	'lo-p@
lord	'lOrt
los	'lOs
losjes	'lOs-j@s
losse	'lO-s@
lot	'lOt
lowlands	'lo-lAnts
lsd	El-Es-'de
lsd-trip	El-Es-'de-trIp
lucas	'lju-kas
lucht	'lYxt
lucky	'lY-ki
lugubere	ly-'Gy-b@-r@
lui	'lY+
luiheid	'lY+-hE+t
luister	'lY+s-t@r
luisteren	'lY+s-t@-r@
lukie	'lY-ki
lukken	'lY-k@
lukt	'lYkt
lulhannes	'lYl-hA-n@s
lullen	'lY-l@
lullig	'lY-l@x
lunchen	'lYn-S@
lustrum	'lYs-trYm
lustrumbestuur	'lYs-trYm-b@-styr
lustrumcommissie	'lYs-trYm-kO-mI-si
lutz	'lYts
luxor	'lyk-sOr
luyendijk	'ly-j@-dE+k
lyotard	'ljo-tArt
m	'Em
m-	'm
ma	'ma
ma-	'ma
maa-	'ma
maag	'max
maaglijk	'maG-lE+k
maai	'maj
maai-	'maj
maaike	'maj-k@
maak	'mak
maakt	'makt
maakte	'mak-t@
maakten	'mak-t@
maa-maar	ma-'mar
maand	'mant
maandag	'man-dAx
maandagavond	man-dAx-'a-vOnt
maanden	'man-d@
maar	'mar
maar-maar-maar-maar	'mar-mar-mar-mar
maart	'mart
maat	'mat
mac	'mAk
macbookje	'mEk-buk-j@
machine	mA-'Si-n@
machines	mA-'Si-n@s
machtsspel	'mAxt-spEl
mad	'mAt
madame	ma-'dAm
mafkezen	'mAf-ke-z@n
mag	'mAx
magazijn	mA-Ga-'zE+n
mail	'mel
mailtje	'mel-tj@
maken	'ma-k@
makkelijk	'mA-k@-l@k
makkelijke	'mA-k@-l@-k@
makkelijker	'mA-k@-l@-k@r
maliepaard	'ma-li-pard
malle	'mA-l@
mam	'mAm
mama	mA-'ma
ma-ma-maar	ma-ma-'mar
man	'mAn
management	'mE-n@dZ-m@nt
managementwetenschappen	'mE-n@S-mEnt-we-t@n-sxA-p@n
manager	'mE-n@-dZ@r
mandela	mAn-'de-la
mandje	'mAnt-j@
manie	ma-'ni
ma-nie-	'ma-ni
manier	ma-'nir
mannen	'mA-n@
mannetje	'mA-n@-tj@
manon	mA-'nOn
mappen	'mA-p@
marcheren	mAr-'Se-r@
marciano	mAr-sI-'a-no
marco	'mar-so
marian	ma-ri-'j@n
mark	'mArk
marketing	'mAr-k@-tIN
markt	'mArkt
marloes	mar-'lus
marokkaans	ma-rO-'kans
marokkaanse	ma-rO-'kan-s@
mars	'mArs
marsen	'mAr-s@
marsmannetjes	'mArs-mA-n@-tj@s
martin	'mar-tIn
marx	'mAr
master	'mAs-t@r
masterclass	'mas-t@r-klas
masteropleiding	'mAs-t@r-op-lE+-dIN
masters	'mAs-t@rs
materiaal	ma-te-ri-'jal
materialisa-	'mA-te-ri-a-lI-sa
matthijs	mA-'tE+s
maurice	mA+-'ri-s@
max	'mAks
maximaal	mAk-si-'mal
mayonaise	mA-jo-'nE:-s@
me	'm@
me-	'm@
mechanisme	me-xa-'nIs-m@
medaille	me-'dA-j@
medailles	me-'dA-j@s
media	'me-di-ja
mediatrai-	'me-dI-a-trEj
mediatraining	'me-di-ja-tre-nIN
medicijnen	me-di-'sE+-n@
medisch	'me-dis
medische	'me-di-s@
mee	'me
mee-	'me
meedenken	'me-dEN-k@
meedoen	'me-dun
meedragen	'me-dra-G@
meegaat	'me-Gat
meegegeven	'me-G@-Ge-v@
meegekregen	'me-G@-kre-G@
meegemaakt	'me-G@-makt
meegenomen	'me-G@-no-m@
meeloopt	'me-lopt
meen	'men
meeneembarbecue	'me-nem-bAr-b@l-kjuw
meenemen	'me-ne-m@
meep-	'mep
meer	'mer
meer-	'mer
meerdere	'mer-d@-r@
meerkeuze	mer-'k2-z@
meest	'mest
meestal	'mest-Al
meeste	'mes-t@
meesten	'mes-t@
meeuwis	'me-wIs
meevallen	'me-vA-l@
meg	'mex
meh-	'mE
mei	'mE+
meid	'mE+t
meiden	'mE+-d@
meis	'mE+s
meisje	'mE+-S@
meisjes	'mE+-S@s
meivakantie	'mE+-va-kAn-si
mekaar	m@-'kar
melden	'mEl-d@
me-met	mE-'mEt
memorabels	mE-mo-'ra-b@ls
memory	'me-mO-ri
men	'mEn
men-	'mEn
meneer	m@-'ner
menen	'me-n@
menig	'me-n@x
menig-	'me-n@G
menigte	'me-n@x-t@
mening	'me-nIN
mens	'mEns
mensen	'mEn-s@
mentor	'mEn-tOr
mentorgroepje	'mEn-tOr-Grup-j@
mentorkindje	'mEn-tOr-kIn-tj@
mentorkindjes	'mEn-tOr-kIn-tj@s
merk	'mErk
merken	'mEr-k@
merkt	'mErkt
merleyn	m@r-'lin
met	'mEt
meteen	m@-'ten
meten	'me-t@
meter	'me-t@r
met-met	'mEt-mEt
met-t-t	'mEt-t-t
meuk	'm2k
mevrouwtje	m@-'vrA+w-tj@
mezelf	m@-'zElf
mezz	'mEz
mfvn	Em-Ef-ve-'En
micha	'mI-xa
micha's	'mI-Sas
michie-	mI-'xI
michiel	mI-'xil
microfoon	mi-kro-'fon
middag	'mI-dAx
middagje	'mI-dAx-j@
middags	'mI-dAxs
middelbare	'mI-d@l-ba-r@
middelbareschooldocent	mI-d@l-ba-r@-'sxol-do-sEnt
midden	'mI-d@
middenin	mI-d@-'In
midweekje	'mId-wek-j@
mien	'mi
mientje	'min-tj@
mieren	'mi-r@
mij	'mE+
mijn	'mE+n
militaire	mi-li-'tE:-r@
miljard	m@l-'jArt
miljoen	m@l-'jun
millstreet	'mIl-strit
mi-middagen	mI-'mI-da-G@n
min	'mIn
min-	'mIn
mindcraft	'mAjn-kraft
minder	'mIn-d@r
minimaal	mi-ni-'mal
minor	'mi-nOr
minoren	mi-'no-r@n
minorvak	'mAj-nOr-vAk
minst	'mInst
minstens	'mIn-st@ns
minuten	mi-'ny-t@
minuut	mi-'nyt
minuutjes	mi-'nyt-j@s
mis	'mIs
mis-	'mIs
misbruik	mIz-'brY+k
misdaad	'mIz-dat
misgeschotters	'mIs-G@-sxO-t@rs
mislukt	mIs-'lYkt
missch-	'mIsx
misschien	mI-'sxin
misschoppers	'mIs-xO-p@rs
misselijk	'mI-s@-l@k
missen	'mI-s@
mission	'mI-S@n
mist	'mIst
mixen	'mIk-s@
mm	'Em-Em
m-m-	'mm
m-maken	m-'ma-k@n
m-marco	m-'mAr-ko
m-meer	m-'mer
m-meestal	m-'mes-tAl
m-met	m-'mEt
m-mocht	m-'mOxt
m-moet	m-'mut
m'n	'm@n
mo	'Em-o
mo-	'mo
mobiel	mo-'bil
mocht	'mOxt
mochten	'mOx-t@
model	mo-'dEl
modellen	mo-'dE-l@
modern	mo-'dErn
moderne	mo-'dEr-n@
moderner	mo-'dEr-n@r
moe	'mu
moe-	'mu
moeder	'mu-d@r
moeilijk	'muj-l@k
moeite	'muj-t@
moest	'must
moesten	'mus-t@
moet	'mut
moeten	'mu-t@
mogelijk	'mo-G@-l@k
mogelijkheden	'mo-G@-l@k-he-d@
mogelijkheiden	'mo-G@-lE+k-hE+-d@n
mogen	'mo-G@
molenstraat	'mo-l@-strat
molotov	'mO-lo-tOv
mome-	'mo-mE
moment	mo-'mA~
momenten	mo-'mEn-t@
momentje	mo-'mEnt-j@
monard	mO-'nArt
mond	'mOnt
money	'mO-nI
monitoren	'mo-ni-to-r@
monster	'mOn-st@r
monsters	'mOn-st@rs
montenegro	mOn-t@-'n@-Gro
montuur	mOn-'tyr
mooi	'moj
mooie	'mo-j@
moppen	'mO-p@
moraliteit	mo-ra-li-'tE+t
more-	'mor
moreel	mo-'rel
morele	mo-'re-l@
morgen	'mOr-G@
morgenochtend	mOr-G@-'Ox-t@nt
moskee	mOs-'ke
moslim	'mOs-lIm
moslimpartij	'mOs-lIm-pAr-tE+
moslimvrouwtjes	'mOs-lIm-vrA+w-tj@s
motherfucker	mO-tEr-'fY-kEr
motivatie	mo-ti-'va-tsi
mouwen	'mA+-w@
mri	Em-Er-'i
mtv	Em-te-'ve
much	'mYx
mulle	'mY-l@
munchk-	'mYnSk
munchkin-avond	'mYnS-kIn-a-vOnt
munchkin-avondje	'mYnS-kin-a-vOn-tj@
munten	'mYn-t@
music	my-'zIk
muur	'myr
muurtje	'myr-tj@
muziek	my-'zik
mwah	'mwa
n	'En
-n	'n
één	'en
n-	'n
na	'na
na-	'na
naaien	'na-j@
naam	'nam
naamplaatje	'nam-pla-tj@
naar	'nar
